epoch,iso,raw_dht11
1753724264.341671,2025-07-28T18:37:44.341679,"0.0,0.0"
1753724264.4420571,2025-07-28T18:37:44.442066,"0.0,0.0"
1753724264.5423048,2025-07-28T18:37:44.542314,"0.0,0.0"
1753724264.6426897,2025-07-28T18:37:44.642699,"0.0,0.0"
1753724264.7458708,2025-07-28T18:37:44.745880,"0.0,0.0"
1753724264.844715,2025-07-28T18:37:44.844723,"0.0,0.0"
1753724264.9446473,2025-07-28T18:37:44.944655,"0.0,0.0"
1753724265.0451384,2025-07-28T18:37:45.045146,"0.0,0.0"
1753724265.1453986,2025-07-28T18:37:45.145406,"0.0,0.0"
1753724265.2456899,2025-07-28T18:37:45.245697,"0.0,0.0"
1753724265.3459318,2025-07-28T18:37:45.345939,"0.0,0.0"
1753724265.44625,2025-07-28T18:37:45.446257,"0.0,0.0"
1753724265.5467825,2025-07-28T18:37:45.546790,"0.0,0.0"
1753724265.6468124,2025-07-28T18:37:45.646820,"0.0,0.0"
1753724265.7470694,2025-07-28T18:37:45.747076,"0.0,0.0"
1753724265.8474708,2025-07-28T18:37:45.847478,"0.0,0.0"
1753724265.9476635,2025-07-28T18:37:45.947671,"0.0,0.0"
1753724266.0478175,2025-07-28T18:37:46.047825,"0.0,0.0"
1753724266.1481712,2025-07-28T18:37:46.148179,"0.0,0.0"
1753724266.2483907,2025-07-28T18:37:46.248397,"0.0,0.0"
1753724266.3486214,2025-07-28T18:37:46.348629,"0.0,0.0"
1753724266.4488578,2025-07-28T18:37:46.448865,"0.0,0.0"
1753724266.5491583,2025-07-28T18:37:46.549165,"0.0,0.0"
1753724266.6493857,2025-07-28T18:37:46.649392,"0.0,0.0"
1753724266.7497978,2025-07-28T18:37:46.749805,"0.0,0.0"
1753724266.8652904,2025-07-28T18:37:46.865298,"0.0,0.0"
1753724266.960534,2025-07-28T18:37:46.960541,"0.0,0.0"
1753724267.0659087,2025-07-28T18:37:47.065916,"0.0,0.0"
1753724267.1661487,2025-07-28T18:37:47.166155,"0.0,0.0"
1753724267.2667358,2025-07-28T18:37:47.266745,"0.0,0.0"
1753724267.3676665,2025-07-28T18:37:47.367674,"0.0,0.0"
1753724267.4685266,2025-07-28T18:37:47.468539,"0.0,0.0"
1753724267.5676239,2025-07-28T18:37:47.567631,"0.0,0.0"
1753724267.669453,2025-07-28T18:37:47.669460,"0.0,0.0"
1753724267.768367,2025-07-28T18:37:47.768374,"0.0,0.0"
1753724267.8689148,2025-07-28T18:37:47.868923,"0.0,0.0"
1753724267.9695642,2025-07-28T18:37:47.969574,"0.0,0.0"
1753724268.0706038,2025-07-28T18:37:48.070614,"0.0,0.0"
1753724268.1706648,2025-07-28T18:37:48.170671,"0.0,0.0"
1753724268.2708597,2025-07-28T18:37:48.270867,"0.0,0.0"
1753724268.371034,2025-07-28T18:37:48.371040,"0.0,0.0"
1753724268.4712892,2025-07-28T18:37:48.471296,"0.0,0.0"
1753724268.5715168,2025-07-28T18:37:48.571523,"0.0,0.0"
1753724268.6717727,2025-07-28T18:37:48.671779,"0.0,0.0"
1753724268.7721257,2025-07-28T18:37:48.772133,"0.0,0.0"
1753724268.8723567,2025-07-28T18:37:48.872365,"0.0,0.0"
1753724268.972571,2025-07-28T18:37:48.972578,"0.0,0.0"
1753724269.0730045,2025-07-28T18:37:49.073012,"0.0,0.0"
